Name,Type,Build,Dir,minArea,maxArea,representativeArea,floorAreaRatio,minDeal,maxDeal,medianDeal,minLease,maxLease,medianLease,minDealUnit,maxDealUnit,medianDealUnit,minLeaseUnit,maxLeaseUnit,medianLeaseUnit,Lat,Lon,BUS,METRO,INFANT,PRESCHOOL,SCHOOLPOI,HOSPITAL,PARKING,MART,CONVENIENCE,WASHING,BANK,OFFICE,sector
대치풍림아이원1차,아파트,200308,EE,94.58,94.58,94.0,0,210000,210000,210000,90000,90000,90000,7385,7385,7385,3165,3165,3165,37.501695,127.054872,10,0,14,2,28,0,35,2,10,14,25,7,대치동
세영팔래스,아파트,200201,EE,73.77,103.37,103.0,237,175000,200000,200000,120000,120000,120000,6419,7925,6419,3851,3851,3851,37.50085,127.06214,16,0,23,3,32,0,20,1,10,14,35,9,대치동
삼환SOGOOD(주상복합),아파트,200611,EE,107.38,133.52,133.0,359,220000,220000,220000,105000,110000,,5468,5468,5468,3244,3398,,37.497556,127.055682,12,1,18,3,30,0,18,4,7,13,36,8,대치동
대치대우아이빌명문가(주상복합),아파트,200402,EE,41.88,53.58,41.0,637,31000,38000,31000,23000,36500,36000,2370,2614,2499,1768,2943,2903,37.505138,127.053901,5,0,9,1,28,0,25,3,14,10,18,6,대치동
대치우정에쉐르2(주상복합),아파트,200405,EE,72.18,72.18,72.0,434,99000,130000,128000,0,0,,4545,5969,5877,0,0,,37.504308,127.052611,4,0,10,1,23,0,24,2,14,9,18,6,대치동
대치대우아이빌명문가,오피스텔,200402,EE,57.05,59.01,57.0,637,31000,32000,31500,0,0,,1793,1856,1827,0,0,,37.505147,127.053856,5,0,9,1,28,0,25,3,14,10,18,6,대치동
"한보미도맨션1,2차",아파트,198311,EE,113.31,220.92,152.0,179,285000,490000,380000,110000,250000,150000,6864,11702,8264,2680,3797,3262,37.493541,127.067516,12,2,14,1,32,0,4,4,1,5,27,9,대치동
쌔씨죤,오피스텔,200408,EE,103.85,103.85,103.0,299,0,0,,70000,70000,70000,0,0,,2247,2247,2247,37.50142,127.054333,9,0,14,2,28,0,33,2,11,14,25,7,대치동
더힐하우스(도시형),아파트,201606,EE,51.49,56.47,56.0,185,0,0,,47250,60000,60000,0,0,,3063,3542,3542,37.499451,127.052869,8,1,12,3,23,0,18,4,7,14,26,6,대치동
현대,아파트,199004,EE,101.03,101.03,101.0,243,210000,210000,210000,0,0,,6873,6873,6873,0,0,,37.499994,127.065332,16,0,18,2,32,0,15,3,6,9,27,9,대치동
로프트아파트먼트대치(도시형),아파트,201908,EE,56.53,56.53,56.0,249,115000,115000,115000,75000,75000,75000,6789,6789,6789,4427,4427,4427,37.500642,127.051966,7,1,12,3,23,0,19,2,6,10,22,6,대치동
동양,아파트,199901,EE,112.14,112.14,112.0,223,0,0,,100000,100000,100000,0,0,,2952,2952,2952,37.499793,127.052577,8,1,13,3,23,0,18,4,6,15,24,6,대치동
대치풍림아이원2차,아파트,200310,EE,149.23,170.3,170.0,0,230000,270000,260000,155000,160000,155000,4861,5250,5056,3014,3111,3014,37.501362,127.054967,9,0,16,2,28,0,33,2,9,14,27,7,대치동
대치클래시아,오피스텔,201512,EE,42.36,61.63,61.0,0,51000,65000,65000,0,0,,3523,4172,3523,0,0,,37.493684,127.060491,11,1,13,2,32,0,10,4,7,8,30,9,대치동
선릉역롯데골드로즈II,오피스텔,200406,EE,59.44,77,77.0,846,28000,43000,42500,28000,38000,35500,1569,1846,1825,1503,1631,1524,37.504213,127.052058,4,0,9,1,23,0,22,2,13,8,20,6,대치동
래미안대치팰리스1단지,아파트,201509,EE,111.83,150.36,125.0,258,340000,500000,400000,170000,320000,230000,10093,11093,10579,4973,7052,6083,37.494375,127.057833,16,2,17,3,29,0,17,5,3,10,30,9,대치동
대치2단지,아파트,199210,EE,46.73,67.75,56.0,174,110000,180000,155000,32000,60000,45500,7648,10061,9150,2107,2960,2686,37.494658,127.075486,10,1,8,1,30,0,7,1,3,4,10,8,대치동
래미안대치하이스턴,아파트,201402,EE,142.54,142.62,142.0,347,300000,300000,300000,90000,200000,200000,6984,6984,6984,2095,4656,4656,37.501371,127.065157,13,0,16,2,32,0,19,2,5,8,27,9,대치동
대치삼성1차,아파트,200007,EE,85.68,133.46,124.0,261,200000,330000,300000,100000,200000,170000,7778,8531,7998,3889,5065,4532,37.496538,127.059121,17,1,21,3,32,0,22,5,7,12,32,9,대치동
대치현대,아파트,199906,EE,88.68,143.66,88.0,341,185000,300000,185000,68000,220000,76500,6935,8041,6950,2554,5382,2874,37.500906,127.061068,16,0,26,3,32,0,19,2,7,16,40,9,대치동
현대썬앤빌테헤란(도시형),아파트,201610,EE,54.56,66.02,59.0,249,57000,73000,71000,0,0,,3426,3978,3978,0,0,,37.504415,127.054758,7,0,12,1,28,0,25,3,16,12,22,6,대치동
