,Name,Type,Build,Dir,minArea,maxArea,representativeArea,floorAreaRatio,minDeal,maxDeal,medianDeal,minLease,maxLease,medianLease,minDealUnit,maxDealUnit,medianDealUnit,minLeaseUnit,maxLeaseUnit,medianLeaseUnit,Lat,Lon,BUS,METRO,INFANT,PRESCHOOL,SCHOOLPOI,HOSPITAL,PARKING,MART,CONVENIENCE,WASHING,BANK,OFFICE
0,현대빌라트,아파트,199608,EE,203.03,203.03,203.0,237,580000,620000,600000,0,0,,9445,10096,9771,0,0,,37.530497,127.027349,3,1,2,0,25,0,13,0,0,3,34,11
1,현대썬앤빌(도시형),아파트,201502,EE,27.74,27.74,27.0,799,0,0,,22000,25000,24000,0,0,,2694,3061,2938,37.52112,127.031368,10,0,9,1,25,0,42,1,8,11,45,11
2,금광아크존(주상복합),아파트,200409,EE,86.38,86.38,86.0,279,140000,145000,140000,0,0,,5382,5574,5382,0,0,,37.526553,127.034579,10,0,5,0,25,0,27,0,6,4,39,11
3,현대썬앤빌,오피스텔,201502,EE,33.12,35.21,33.0,799,0,0,,23000,28000,26000,0,0,,2304,2805,2605,37.521102,127.031357,10,0,9,1,25,0,42,1,8,11,45,11
4,신반포16차,아파트,198301,EE,57.58,91.49,57.0,0,189000,270000,205000,39000,70000,43000,9808,15659,11889,2107,2900,2494,37.517509,127.00991,2,0,3,0,12,0,1,0,0,2,4,2
5,미주파스텔,아파트,200207,EE,70.91,104.68,104.0,324,180000,260000,260000,80000,112000,112000,7728,9445,8264,3338,4594,3560,37.517302,127.011022,4,0,3,0,14,0,1,0,0,2,5,2
6,미성2차,아파트,198712,EE,95.27,163.56,95.0,0,300000,550000,320000,79000,200000,95000,9025,11831,11135,2749,4056,3306,37.523985,127.019316,5,0,6,1,25,0,17,1,3,8,27,11
7,미성1차,아파트,198211,EE,111.97,193.03,163.0,93,380000,600000,550000,99000,230000,180000,9934,11763,11154,2948,4056,3651,37.525563,127.020506,6,0,4,1,25,0,20,2,2,8,30,11
8,토미,아파트,200403,EE,99.95,99.95,99.0,249,130000,130000,130000,0,0,,4341,4341,4341,0,0,,37.522252,127.029871,12,1,9,1,25,0,51,2,13,13,47,11
9,신사씨티빌,아파트,200201,EE,70.85,70.85,70.0,298,90000,90000,90000,0,0,,4250,4250,4250,0,0,,37.521059,127.020693,9,0,7,1,25,0,37,3,7,13,29,11
10,압구정아인빌,아파트,200705,EE,104.58,104.58,104.0,243,160000,180000,160000,0,0,,5086,5722,5086,0,0,,37.521481,127.029248,13,0,8,1,25,0,40,2,10,20,45,11
11,현대14차,아파트,198704,EE,96.49,99.48,99.0,194,420000,450000,440000,100000,120000,120000,14025,15496,14692,3339,4132,4007,37.530769,127.026253,2,0,1,0,25,0,8,0,0,3,34,11
12,잠원현대,아파트,199304,EE,103.77,103.77,103.0,299,225000,252000,245000,105000,120000,110000,7221,8088,7863,3370,3851,3530,37.51867,127.012904,4,0,3,0,21,0,4,0,1,3,6,8
13,"신현대(현대9,11,12차)",아파트,198205,EE,114.08,202.05,202.0,0,400000,700000,690000,89000,250000,240000,11292,11691,11292,2521,4091,3928,37.52811,127.024501,6,1,2,1,25,0,25,0,0,4,34,11
14,롯데캐슬갤럭시2차,아파트,200404,EE,128.98,168.28,153.0,299,300000,340000,340000,150000,200000,190000,6592,8713,7346,3241,4649,4105,37.518663,127.016434,7,0,4,0,24,0,16,1,2,6,10,10
15,래미안신반포리오센트,아파트,201906,EE,85.91,172.8,172.0,299,248000,440000,410000,200000,230000,,7592,10890,7880,5158,5800,,37.518478,127.013762,5,0,3,0,21,0,5,0,1,3,7,9
16,현대맨션,아파트,198012,EE,159.5,213.92,213.0,0,400000,550000,550000,0,0,,8316,9000,8536,0,0,,37.525034,127.029564,14,1,9,1,25,0,50,1,15,12,44,11
17,한양,아파트,200309,EE,82.32,82.32,82.0,221,120000,120000,120000,0,0,,4838,4838,4838,0,0,,37.52194,127.025905,14,0,7,1,25,0,51,2,9,17,44,11
18,현대아인빌,아파트,200403,EE,143.09,143.09,143.0,283,0,0,,110000,120000,110000,0,0,,2543,2774,2543,37.523727,127.026277,9,1,7,1,25,0,49,1,9,16,45,11
19,신성,아파트,199610,EE,72.11,72.11,72.0,195,170000,170000,170000,0,0,,7805,7805,7805,0,0,,37.526377,127.031877,14,1,6,0,25,0,44,0,10,7,41,11
20,진흥아마란스,아파트,200503,EE,197.77,197.77,197.0,294,280000,280000,280000,0,0,,4699,4699,4699,0,0,,37.523703,127.031052,13,1,10,1,25,0,57,1,10,9,44,11
21,현대13차,아파트,198407,EE,116.03,119.5,119.0,150,450000,460000,450000,90000,125000,100000,12501,13109,12501,2565,3562,2778,37.529279,127.027751,6,1,3,1,25,0,27,0,0,4,38,11
22,루덴하우스,아파트,200704,EE,102.33,102.33,102.0,222,0,0,,80000,80000,80000,0,0,,2593,2593,2593,37.521553,127.021599,9,0,7,1,25,0,38,3,7,17,31,11
23,한양6차,아파트,198012,EE,115.1,168.7,115.0,0,390000,590000,400000,84000,200000,90000,11211,11786,11498,2415,3935,2587,37.530082,127.036445,5,0,2,0,25,0,15,0,3,3,25,11
24,잠원상지리츠빌카일룸,아파트,200901,EE,204.64,204.64,204.0,229,550000,750000,675000,370000,370000,370000,8913,12154,10938,5996,5996,5996,37.522093,127.016049,7,0,5,1,25,0,12,1,1,6,15,11
25,압구정하이츠파크,아파트,200404,EE,270.55,270.55,270.0,297,600000,600000,600000,0,0,,7346,7346,7346,0,0,,37.523842,127.033697,10,0,7,0,25,0,38,0,3,5,43,11
26,강변,아파트,198707,EE,89.35,101.08,101.0,243,220000,270000,255000,65000,120000,110000,8117,8837,8346,2414,3928,3600,37.517893,127.012699,4,0,3,0,15,0,4,0,0,3,6,8
27,크레신타워,오피스텔,200402,EE,54.75,63.64,54.0,876,30500,35000,30900,20000,20000,20000,1784,1898,1892,1224,1224,1224,37.518229,127.018453,8,0,6,0,25,0,25,1,4,6,12,11
28,"현대6,7차",아파트,197809,EE,156.13,264.87,156.0,210,510000,800000,520000,145000,400000,175000,10695,12715,11019,2820,5458,3708,37.530219,127.028999,7,1,2,0,25,0,24,0,0,4,34,11
29,청학,아파트,197612,EE,87.15,99.65,87.0,220,230000,300000,250000,55000,59000,55000,7680,10018,9499,2090,2242,2090,37.520645,127.032822,10,0,7,0,25,0,32,0,8,8,43,11
